accident_id,date,time,hour,day_of_week,month,year,location_name,latitude,longitude,road_type,weather,road_condition,light_condition,speed_limit_kmph,traffic_volume,vehicles_involved,vehicle_type,collision_type,severity,risk_score,accident_occurred,is_weekend,is_peak_hour,is_night
1001,2021-08-17,02:17,2,Tuesday,8,2021,Peddapalli Town Circle,18.615309,79.382238,Urban Road,Clear,Good,Daylight,40,189,3,Bus,Head-On,Serious,43,1,0,0,1
1002,2021-03-03,05:14,5,Wednesday,3,2021,NH-163 Near Peddapalli Toll Plaza,18.613029,79.380929,Highway,Rainy,Good,Daylight,80,421,2,Bus,Rear-End,Minor,34,1,0,0,1
1003,2022-07-24,18:00,18,Sunday,7,2022,Korutla Junction Near Peddapalli,18.531837,79.323653,State Highway,Foggy,Good,Daylight,60,426,2,Car/Jeep,Pedestrian,Minor,30,1,1,1,0
1004,2021-07-09,10:22,10,Friday,7,2021,Ramagundam Bypass Junction,18.752483,79.497871,Bypass,Overcast,Potholed,Dark – Street Light,70,343,3,Bus,Head-On,Serious,57,1,0,0,0
1005,2022-08-24,18:39,18,Wednesday,8,2022,Ramagundam Bypass Junction,18.745234,79.491575,Bypass,Overcast,Good,Daylight,70,319,1,Tractor,Head-On,Minor,34,1,0,1,0
1006,2022-04-22,19:24,19,Friday,4,2022,Ramagundam Bypass Junction,18.749736,79.501771,Bypass,Clear,Potholed,Daylight,70,255,2,Car/Jeep,Side-Swipe,Serious,50,1,0,1,0
1007,2021-12-17,13:15,13,Friday,12,2021,Ramagundam Bypass Junction,18.747738,79.507528,Bypass,Clear,Good,Dawn/Dusk,70,227,2,Bus,Head-On,Serious,40,1,0,0,0
1008,2021-04-25,08:02,8,Sunday,4,2021,Mancherial Road – Peddapalli Border,18.681338,79.437876,State Highway,Overcast,Potholed,Daylight,60,281,4,Bus,Hit-and-Run,Serious,40,1,1,1,0
1009,2023-10-20,11:58,11,Friday,10,2023,Sulthanabad Cross Roads,18.592555,79.415245,Highway,Rainy,Good,Daylight,80,256,3,Bus,Rear-End,Serious,48,1,0,0,0
1010,2023-03-29,10:08,10,Wednesday,3,2023,Ramagundam NTPC Gate Road,18.774997,79.491542,Industrial Road,Rainy,Good,Daylight,40,180,2,Tractor,Head-On,Minor,38,1,0,0,0
1011,2021-05-11,10:38,10,Tuesday,5,2021,Korutla Junction Near Peddapalli,18.537261,79.325933,State Highway,Night Drizzle,Potholed,Dawn/Dusk,60,251,3,Two-Wheeler,Side-Swipe,Serious,58,1,0,0,0
1012,2022-07-01,17:21,17,Friday,7,2022,Peddapalli Town Circle,18.620113,79.372896,Urban Road,Clear,Potholed,Dark – No Street Light,40,65,4,Tractor,Rear-End,Serious,61,1,0,1,0
1013,2022-01-01,13:06,13,Saturday,1,2022,Srirampur Road Stretch,18.710202,79.528359,District Road,Overcast,Good,Dark – No Street Light,50,166,2,Car/Jeep,Rear-End,Minor,10,0,1,0,0
1014,2023-12-23,20:38,20,Saturday,12,2023,Srirampur Road Stretch,18.723692,79.535857,District Road,Clear,Good,Dawn/Dusk,50,165,3,Auto-Rickshaw,Head-On,Minor,37,1,1,0,1
1015,2021-06-11,05:31,5,Friday,6,2021,Kataram Village Road,18.638494,79.394607,Village Road,Overcast,Gravelled,Dark – No Street Light,30,140,2,Tractor,Rear-End,Serious,42,1,0,0,1
1016,2022-06-27,13:38,13,Monday,6,2022,Manthani Bridge Approach,18.650697,79.665386,District Road,Clear,Good,Dark – No Street Light,50,92,3,Car/Jeep,Side-Swipe,Minor,27,1,0,0,0
